model_family,model,split,threshold,accuracy,precision_ai,recall_ai,f1_ai,roc_auc
Course ML,Logistic Regression (handcrafted features),test,0.07,0.9866666666666667,0.95,1.0,0.9743589743589743,1.0
Course ML,Random Forest (handcrafted features),test,0.29,0.9866666666666667,0.95,1.0,0.9743589743589743,1.0
Final Ensemble,Validation-weighted ensemble,test,0.4549999999999999,0.9666666666666667,0.9459459459459459,0.9210526315789473,0.9333333333333333,0.9929511278195489
Transfer Learning,efficientnet_b0,test,0.4149999999999999,0.9666666666666667,0.9714285714285714,0.8947368421052632,0.9315068493150684,0.9800281954887218
Transfer Learning,vit_b_16,test,0.4799999999999999,0.96,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.993421052631579
Transfer Learning,resnet18,test,0.575,0.96,0.9444444444444444,0.8947368421052632,0.918918918918919,0.9948308270676691
Transfer Learning,mobilenet_v3_small,test,0.3449999999999999,0.9533333333333334,0.918918918918919,0.8947368421052632,0.9066666666666666,0.9868421052631579
Course ML,Logistic Regression (handcrafted features),validation,0.07,1.0,1.0,1.0,1.0,1.0
Course ML,Random Forest (handcrafted features),validation,0.29,1.0,1.0,1.0,1.0,1.0
Final Ensemble,Validation-weighted ensemble,validation,0.4549999999999999,1.0,1.0,1.0,1.0,1.0
Transfer Learning,efficientnet_b0,validation,0.4149999999999999,1.0,1.0,1.0,1.0,1.0
Transfer Learning,vit_b_16,validation,0.4799999999999999,0.9933333333333333,0.9743589743589743,1.0,0.987012987012987,0.99953007518797
Transfer Learning,mobilenet_v3_small,validation,0.3449999999999999,0.9933333333333333,1.0,0.9736842105263158,0.9866666666666667,0.9992951127819548
Transfer Learning,resnet18,validation,0.575,0.9866666666666667,0.95,1.0,0.9743589743589743,0.9981203007518796
