threshold,accuracy,precision_ai,recall_ai,f1_ai,roc_auc,epoch,train_loss
0.37499999999999994,0.89,0.8979591836734694,0.88,0.8888888888888888,0.9447999999999999,1,0.4264056384563446
0.5099999999999999,0.875,0.8676470588235294,0.885,0.8762376237623762,0.9356500000000001,2,0.2353889842828115
0.26999999999999996,0.8625,0.8795811518324608,0.84,0.8593350383631714,0.929725,3,0.15362314118279352
0.7949999999999999,0.92,0.9516129032258065,0.885,0.917098445595855,0.9544,4,0.1202674815720982
0.6599999999999999,0.8825,0.8695652173913043,0.9,0.8845208845208845,0.942075,5,0.09357132809029685
0.695,0.8775,0.8682926829268293,0.89,0.8790123456790123,0.9327499999999999,6,0.07986832592222426
0.565,0.8775,0.8952879581151832,0.855,0.8746803069053708,0.9495750000000001,7,0.06762355824311574
0.6549999999999999,0.8875,0.8708133971291866,0.91,0.8899755501222494,0.947775,8,0.07260022862090004
0.825,0.905,0.9132653061224489,0.895,0.9040404040404041,0.9457000000000001,9,0.0595758581492636
0.4549999999999999,0.895,0.8761904761904762,0.92,0.8975609756097561,0.9462499999999999,10,0.05010003944238027
